ID,REgion,NeedsUpdating,City,state_name,CityState,county_name,Latitude,Longitude,population,NLCD Code,ActualDescription,Terrain,Climate,CostOfLiving,MInMilesMountains,min Drive Time Mountains,MilesTo_Atlantic,MilesTo_Gulf,Min Miles to Beach,Min Drive to Beach,MinLake,Drivelake,ClosestInternationalIATA,ClosestInternationalMiles,ClosestInternationalHours,ClosestNationalIATA,ClosestNationalMiles,ClosestNationalHours,ClosestRegionalIATA,ClosestRegionalHours,ClosestRegionalMiles
1,South Atlantic,,Sugar Hill,Georgia,Sugar Hill-Georgia,Gwinnett County,34.1064895,-84.0335197,28598,21,"Developed, Open Space",Plains,Temperate,92,52.7,63.2,235.3,290.3,235.3,282.36,8.78,10.5,ATL,39.09215,0.78,CHA,92.46363402,1.85,MCN,2,100.1647839
2,South Atlantic,,Cumming,Georgia,Cumming-Georgia,Forsyth County,34.2073196,-84.1401926,10175,24,"Developed, High Intensity",Mountains,Temperate,92,51,61.2,244.4,294.7,244.4,293.28,9.83,11.8,ATL,42.3241339,0.85,CHA,83.23683047,1.66,MCN,2.17,108.4076873
3,South Atlantic,,Gainesville,Georgia,Gainesville-Georgia,Hall County,34.2978794,-83.8240663,47712,21,"Developed, Open Space",Mountains,Temperate,92,35.1,42.1,234.6,307.1,234.6,281.52,9.81,11.8,ATL,56.82488042,1.14,CHA,93.49612722,1.87,AVL,2.14,107.0938579
4,South Atlantic,,Menlo,Georgia,Menlo-Georgia,Chattooga County,34.484808,-85.4763492,484,82,Cultivated Crops,Mountains,Temperate,92,25.4,30.5,318.1,298.1,298.1,357.72,50.54,60.6,HSV,74.64264112,1.49,CHA,41.0641057,0.82,MGM,3.2,159.9240636
5,South Atlantic,,Hartwell,Georgia,Hartwell-Georgia,Hart County,34.3528825,-82.932087,4701,71,Grassland/Herbaceous,Mountains,Temperate,92,42.8,51.4,202.9,333.4,202.9,243.48,9.64,11.6,GSP,55.23153092,1.1,CAE,107.522859,2.15,AVL,1.56,78.04688098
6,South Atlantic,,Greensboro,Georgia,Greensboro-Georgia,Greene County,33.5756831,-83.1823789,3573,22,"Developed, Low Intensity",Plains,Temperate,92,82.7,99.2,174.2,280.4,174.2,209.04,10.12,12.1,ATL,71.3489099,1.43,CAE,121.1247711,2.42,MCN,1.33,66.71831913
7,South Atlantic,,White,Georgia,White-Georgia,Bartow County,34.2828722,-84.7452138,633,24,"Developed, High Intensity",Mountains,Temperate,92,19.5,23.4,275.5,290.1,275.5,330.6,10.67,12.8,ATL,48.14678805,0.96,CHA,58.14866989,1.16,MCN,2.53,126.7240993
8,South Atlantic,,Woodstock,Georgia,Woodstock-Georgia,Cherokee County,34.1014873,-84.5193754,39381,43,Mixed Forest,Plains,Temperate,92,37.4,44.9,257.8,281.1,257.8,309.36,10.56,12.7,ATL,32.36499811,0.65,CHA,75.35323842,1.51,MCN,2.19,109.5143022
9,South Atlantic,,Siloam,Georgia,Siloam-Georgia,Greene County,33.5367968,-83.0809864,190,42,Evergreen Forest,Plains,Temperate,92,86.8,104.2,168,281.5,168,201.6,10.86,13.0,ATL,77.39220954,1.55,CAE,116.0715595,2.32,AGS,1.31,65.38627963
10,South Atlantic,,White Plains,Georgia,White Plains-Georgia,Greene County,33.4720779,-83.035429,276,23,"Developed, Medium Intensity",Plains,Temperate,92,91.9,110.3,163.2,279.4,163.2,195.84,11.12,13.3,ATL,80.5563396,1.61,CAE,114.7474577,2.29,AGS,1.24,62.16059695
11,South Atlantic,,Holly Springs,Georgia,Holly Springs-Georgia,Cherokee County,34.1739857,-84.5013187,20133,23,"Developed, Medium Intensity",Plains,Temperate,92,35,42.0,259.7,286.2,259.7,311.64,11.71,14.1,ATL,37.16138299,0.74,CHA,71.6693014,1.43,MCN,2.27,113.5257934
12,South Atlantic,,LaGrange,Georgia,LaGrange-Georgia,Troup County,33.039291,-85.0313269,33564,21,"Developed, Open Space",Plains,Temperate,92,98.9,118.7,254.2,202.7,202.7,243.24,11.92,14.3,ATL,54.50497112,1.09,CSG,36.53024927,0.73,MCN,1.67,83.70635876
13,South Atlantic,,Eatonton,Georgia,Eatonton-Georgia,Putnam County,33.3267997,-83.3884961,6641,22,"Developed, Low Intensity",Plains,Temperate,92,97.9,117.5,174.2,259.5,174.2,209.04,12.07,14.5,ATL,63.26011767,1.27,CSG,105.927376,2.12,MCN,0.93,46.3415063
14,South Atlantic,,Buckhead,Georgia,Buckhead-Georgia,Morgan County,33.5684599,-83.3623854,203,23,"Developed, Medium Intensity",Plains,Temperate,92,81.5,97.8,182.2,274.3,182.2,218.64,12.35,14.8,ATL,61.05574658,1.22,CSG,116.7088765,2.33,MCN,1.25,62.7420665
15,South Atlantic,,Blue Ridge,Georgia,Blue Ridge-Georgia,Fannin County,34.863972,-84.324087,1246,71,Grassland/Herbaceous,Mountains,Temperate,92,46.4,55.7,282,334.9,282,338.4,13.19,15.8,ATL,84.71678352,1.69,CHA,51.19668685,1.02,AVL,2.16,108.1701942
16,South Atlantic,,Euharlee,Georgia,Euharlee-Georgia,Bartow County,34.1448193,-84.9329986,4139,82,Cultivated Crops,Plains,Temperate,92,22.8,27.4,279.4,278.6,278.6,334.32,13.35,16.0,ATL,45.61550305,0.91,CHA,63.42110833,1.27,MCN,2.49,124.6856135
17,South Atlantic,,Suwanee,Georgia,Suwanee-Georgia,Gwinnett County,34.0514898,-84.0712997,23062,23,"Developed, Medium Intensity",Plains,Temperate,92,57,68.4,234.8,286,234.8,281.76,13.14,15.8,ATL,34.73872765,0.69,CHA,93.66365473,1.87,MCN,1.94,96.98842567
18,South Atlantic,,Lavonia,Georgia,Lavonia-Georgia,Franklin County,34.4359361,-83.106818,2165,42,Evergreen Forest,Mountains,Temperate,92,31.5,37.8,213.5,333.5,213.5,256.2,13.27,15.9,GSP,59.62342655,1.19,TYS,107.4228089,2.15,AVL,1.52,76.15940992
19,South Atlantic,,Elberton,Georgia,Elberton-Georgia,Elbert County,34.1112226,-82.8670839,4760,42,Evergreen Forest,Plains,Temperate,92,57.2,68.6,187.4,321.3,187.4,224.88,13.52,16.2,GSP,65.56969036,1.31,CAE,100.7793429,2.02,AGS,1.46,72.8869546
20,South Atlantic,,Tignall,Georgia,Tignall-Georgia,Wilkes County,33.8676229,-82.7412512,498,81,Pasture/Hay,Plains,Temperate,92,74.9,89.9,169.9,311.5,169.9,203.88,13.06,15.7,GSP,77.01963304,1.54,CAE,93.13023855,1.86,AGS,1.13,56.38976972
21,South Atlantic,,Canton,Georgia,Canton-Georgia,Cherokee County,34.2367621,-84.4907621,38049,41,Deciduous Forest,Mountains,Temperate,92,33.2,39.8,261.7,290.6,261.7,314.04,13.94,16.7,ATL,41.40401852,0.83,CHA,68.45541464,1.37,MCN,2.34,117.1903804
22,South Atlantic,,Lookout Mountain,Georgia,Lookout Mountain-Georgia,Walker County,34.9775758,-85.3577363,1657,71,Grassland/Herbaceous,Mountains,Temperate,92,3.9,4.7,331.7,332.5,331.7,398.04,69.33,83.2,HSV,83.77350742,1.68,CHA,9.590567749,0.19,AVL,3.24,162.0936126
23,South Atlantic,,Rossville,Georgia,Rossville-Georgia,Walker County,34.9831309,-85.2860676,3942,21,"Developed, Open Space",Mountains,Temperate,92,4.1,4.9,328.8,333.2,328.8,394.56,67.55,81.1,HSV,87.78413865,1.76,CHA,5.895604285,0.12,AVL,3.16,158.0464003
24,South Atlantic,,Fort Oglethorpe,Georgia,Fort Oglethorpe-Georgia,Catoosa County,34.9489645,-85.2569,10614,42,Evergreen Forest,Mountains,Temperate,92,3.8,4.6,326,331,326,391.2,64.68,77.6,HSV,88.79262705,1.78,CHA,6.68325969,0.13,AVL,3.14,156.9536786
25,South Atlantic,,Chickamauga,Georgia,Chickamauga-Georgia,Walker County,34.871188,-85.2907896,3014,24,"Developed, High Intensity",Mountains,Temperate,92,4.4,5.3,324.3,325.5,324.3,389.16,61.1,73.3,HSV,85.79417886,1.72,CHA,12.36595968,0.25,AVL,3.2,160.119845
26,South Atlantic,,Trenton,Georgia,Trenton-Georgia,Dade County,34.8720222,-85.5091301,2205,43,Mixed Forest,Mountains,Temperate,92,1.6,1.9,334.4,324.6,324.6,389.52,68.77,82.5,HSV,73.67120157,1.47,CHA,20.65392512,0.41,AVL,3.44,172.0930884
27,South Atlantic,,Ringgold,Georgia,Ringgold-Georgia,Catoosa County,34.91591,-85.1091173,3425,95,Emergent Herbaceous Wetlands,Mountains,Temperate,92,12,14.4,318,329.7,318,381.6,57.53,69.0,HSV,96.48543721,1.93,CHA,9.830739843,0.2,AVL,2.99,149.3765637
28,South Atlantic,,LaFayette,Georgia,LaFayette-Georgia,Walker County,34.7048022,-85.2818998,7028,22,"Developed, Low Intensity",Mountains,Temperate,92,15.7,18.8,317.2,314.1,314.1,376.92,51.58,61.9,HSV,84.975889,1.7,CHA,23.26114055,0.47,AVL,3.26,162.9754633
29,South Atlantic,,Morganton,Georgia,Morganton-Georgia,Fannin County,34.8750834,-84.2554729,294,71,Grassland/Herbaceous,Mountains,Temperate,92,42.8,51.4,279.8,336.7,279.8,335.76,9.23,11.1,ATL,85.82266566,1.72,CHA,54.82082457,1.1,AVL,2.09,104.2779252
30,South Atlantic,,Tunnel Hill,Georgia,Tunnel Hill-Georgia,Whitfield County,34.8406339,-85.0427257,986,21,"Developed, Open Space",Mountains,Temperate,92,16.9,20.3,311.8,325,311.8,374.16,52.65,63.2,ATL,90.23655249,1.8,CHA,16.24527918,0.32,AVL,2.94,147.1719211
31,South Atlantic,,Kennesaw,Georgia,Kennesaw-Georgia,Cobb County,34.0234337,-84.6154897,37740,81,Pasture/Hay,Plains,Temperate,92,37.9,45.5,259.5,274.5,259.5,311.4,8.98,10.8,ATL,28.74795713,0.57,CHA,77.51320592,1.55,MCN,2.15,107.5298803
